Date,NAV
2021-01-03 18:30:00,12.1839
2021-01-04 18:30:00,12.3505
2021-01-05 18:30:00,12.4173
2021-01-06 18:30:00,12.4678
2021-01-07 18:30:00,12.5564
2021-01-10 18:30:00,12.6044
2021-01-11 18:30:00,12.6464
2021-01-12 18:30:00,12.5345
2021-01-13 18:30:00,12.5668
2021-01-14 18:30:00,12.4337
2021-01-17 18:30:00,12.1424
2021-01-18 18:30:00,12.408
2021-01-19 18:30:00,12.4309
2021-01-20 18:30:00,12.3474
2021-01-21 18:30:00,12.2807
2021-01-24 18:30:00,12.1268
2021-01-26 18:30:00,12.0078
2021-01-27 18:30:00,11.9537
2021-01-28 18:30:00,11.6962
2021-01-31 18:30:00,12.0143
2021-02-01 18:30:00,12.265
2021-02-02 18:30:00,12.305
2021-02-03 18:30:00,12.4561
2021-02-04 18:30:00,12.4063
2021-02-07 18:30:00,12.5388
2021-02-08 18:30:00,12.5174
2021-02-09 18:30:00,12.5524
2021-02-10 18:30:00,12.6642
2021-02-11 18:30:00,12.7186
2021-02-14 18:30:00,12.8364
2021-02-15 18:30:00,12.8745
2021-02-16 18:30:00,12.9038
2021-02-17 18:30:00,12.9857
2021-02-18 18:30:00,12.7935
2021-02-21 18:30:00,12.6335
2021-02-22 18:30:00,12.6622
2021-02-23 18:30:00,12.768
2021-02-24 18:30:00,12.9486
2021-02-25 18:30:00,12.67
2021-02-28 18:30:00,12.6978
2021-03-01 18:30:00,12.9294
2021-03-02 18:30:00,13.1057
2021-03-03 18:30:00,13.1621
2021-03-04 18:30:00,12.9719
2021-03-07 18:30:00,12.9389
2021-03-08 18:30:00,12.8482
2021-03-09 18:30:00,12.9097
2021-03-11 18:30:00,12.8171
2021-03-14 18:30:00,12.7348
2021-03-15 18:30:00,12.7275
2021-03-16 18:30:00,12.5481
2021-03-17 18:30:00,12.4335
2021-03-18 18:30:00,12.5124
2021-03-21 18:30:00,12.6395
2021-03-22 18:30:00,12.7769
2021-03-23 18:30:00,12.6177
2021-03-24 18:30:00,12.3512
2021-03-25 18:30:00,12.4915
2021-03-29 18:30:00,12.5639
2021-03-30 18:30:00,12.6416
2021-03-31 18:30:00,12.7501
2021-04-04 18:30:00,12.6469
2021-04-05 18:30:00,12.7112
2021-04-06 18:30:00,12.8443
2021-04-07 18:30:00,12.9395
2021-04-08 18:30:00,12.9846
2021-04-11 18:30:00,12.4272
2021-04-12 18:30:00,12.5253
2021-04-14 18:30:00,12.5712
2021-04-15 18:30:00,12.7449
2021-04-18 18:30:00,12.5355
2021-04-19 18:30:00,12.5749
2021-04-21 18:30:00,12.591
2021-04-22 18:30:00,12.6219
2021-04-25 18:30:00,12.656
2021-04-26 18:30:00,12.7648
2021-04-27 18:30:00,12.8122
2021-04-28 18:30:00,12.801
2021-04-29 18:30:00,12.8034
2021-05-02 18:30:00,12.8776
2021-05-03 18:30:00,12.8363
2021-05-04 18:30:00,12.9922
2021-05-05 18:30:00,13.0988
2021-05-06 18:30:00,13.1344
2021-05-09 18:30:00,13.2863
2021-05-10 18:30:00,13.3048
2021-05-11 18:30:00,13.3519
2021-05-13 18:30:00,13.1704
2021-05-16 18:30:00,13.27
2021-05-17 18:30:00,13.448
2021-05-18 18:30:00,13.5997
2021-05-19 18:30:00,13.571
2021-05-20 18:30:00,13.5794
2021-05-23 18:30:00,13.7399
2021-05-24 18:30:00,13.6898
2021-05-25 18:30:00,13.6842
2021-05-26 18:30:00,13.7556
2021-05-27 18:30:00,13.7605
2021-05-30 18:30:00,13.8273
2021-05-31 18:30:00,13.849
2021-06-01 18:30:00,14.0911
2021-06-02 18:30:00,14.2491
2021-06-03 18:30:00,14.301
2021-06-06 18:30:00,14.3241
2021-06-07 18:30:00,14.4046
2021-06-08 18:30:00,14.2575
2021-06-09 18:30:00,14.4308
2021-06-10 18:30:00,14.4204
2021-06-13 18:30:00,14.3925
2021-06-14 18:30:00,14.4299
2021-06-15 18:30:00,14.3118
2021-06-16 18:30:00,14.1506
2021-06-17 18:30:00,14.0935
2021-06-20 18:30:00,14.1677
2021-06-21 18:30:00,14.3038
2021-06-22 18:30:00,14.1498
2021-06-23 18:30:00,14.1046
2021-06-24 18:30:00,14.1881
2021-06-27 18:30:00,14.1863
2021-06-28 18:30:00,14.2299
2021-06-29 18:30:00,14.1706
2021-06-30 18:30:00,14.1633
2021-07-01 18:30:00,14.1766
2021-07-04 18:30:00,14.2248
2021-07-05 18:30:00,14.2544
2021-07-06 18:30:00,14.2844
2021-07-07 18:30:00,14.2785
2021-07-08 18:30:00,14.3304
2021-07-11 18:30:00,14.3451
2021-07-12 18:30:00,14.2973
2021-07-13 18:30:00,14.2945
2021-07-14 18:30:00,14.3432
2021-07-15 18:30:00,14.3908
2021-07-18 18:30:00,14.3303
2021-07-19 18:30:00,14.2355
2021-07-21 18:30:00,14.3911
2021-07-22 18:30:00,14.4025
2021-07-25 18:30:00,14.4774
2021-07-26 18:30:00,14.392
2021-07-27 18:30:00,14.4422
2021-07-28 18:30:00,14.4296
2021-07-29 18:30:00,14.5233
2021-08-01 18:30:00,14.629
2021-08-02 18:30:00,14.689
2021-08-03 18:30:00,14.6072
2021-08-04 18:30:00,14.6152
2021-08-05 18:30:00,14.655
2021-08-08 18:30:00,14.5944
2021-08-09 18:30:00,14.4922
2021-08-10 18:30:00,14.4131
2021-08-11 18:30:00,14.5238
2021-08-12 18:30:00,14.5283
2021-08-15 18:30:00,14.5549
2021-08-16 18:30:00,14.6087
2021-08-17 18:30:00,14.6931
2021-08-19 18:30:00,14.5084
2021-08-22 18:30:00,14.4456
2021-08-23 18:30:00,14.5601
2021-08-24 18:30:00,14.5768
2021-08-25 18:30:00,14.6722
2021-08-26 18:30:00,14.8233
2021-08-29 18:30:00,15.0392
2021-08-30 18:30:00,15.2377
2021-08-31 18:30:00,15.3844
2021-09-01 18:30:00,15.4057
2021-09-02 18:30:00,15.6442
2021-09-05 18:30:00,15.6356
2021-09-06 18:30:00,15.5733
2021-09-07 18:30:00,15.6143
2021-09-08 18:30:00,15.714
2021-09-12 18:30:00,15.7774
2021-09-13 18:30:00,15.8244
2021-09-14 18:30:00,15.8627
2021-09-15 18:30:00,15.9831
2021-09-16 18:30:00,15.8952
2021-09-19 18:30:00,15.5979
2021-09-20 18:30:00,15.7292
2021-09-21 18:30:00,15.8066
2021-09-22 18:30:00,15.9108
2021-09-23 18:30:00,15.8456
2021-09-26 18:30:00,15.7729
2021-09-27 18:30:00,15.7093
2021-09-28 18:30:00,15.6148
2021-09-29 18:30:00,15.5991
2021-09-30 18:30:00,15.5728
2021-10-03 18:30:00,15.7875
2021-10-04 18:30:00,15.9239
2021-10-05 18:30:00,15.7974
2021-10-06 18:30:00,15.9493
2021-10-07 18:30:00,15.9063
2021-10-10 18:30:00,15.965
2021-10-11 18:30:00,16.0754
2021-10-12 18:30:00,16.2494
2021-10-13 18:30:00,16.386
2021-10-17 18:30:00,16.4303
2021-10-18 18:30:00,16.2601
2021-10-19 18:30:00,15.9116
2021-10-20 18:30:00,15.8254
2021-10-21 18:30:00,15.5939
2021-10-24 18:30:00,15.4511
2021-10-25 18:30:00,15.6355
2021-10-26 18:30:00,15.7142
2021-10-27 18:30:00,15.5008
2021-10-28 18:30:00,15.4725
2021-10-31 18:30:00,15.6477
2021-11-01 18:30:00,15.6928
2021-11-02 18:30:00,15.7347
2021-11-07 18:30:00,16.0369
2021-11-08 18:30:00,16.1287
2021-11-09 18:30:00,16.1676
2021-11-10 18:30:00,16.1036
2021-11-11 18:30:00,16.2718
2021-11-14 18:30:00,16.3459
2021-11-15 18:30:00,16.3131
2021-11-16 18:30:00,16.2942
2021-11-17 18:30:00,16.0632
2021-11-21 18:30:00,15.7648
2021-11-22 18:30:00,15.9931
2021-11-23 18:30:00,15.9148
2021-11-24 18:30:00,16.0437
2021-11-25 18:30:00,15.656
2021-11-28 18:30:00,15.4295
2021-11-29 18:30:00,15.4364
2021-11-30 18:30:00,15.4785
2021-12-01 18:30:00,15.6053
2021-12-02 18:30:00,15.6063
2021-12-05 18:30:00,15.3236
2021-12-06 18:30:00,15.5257
2021-12-07 18:30:00,15.718
2021-12-08 18:30:00,15.726
2021-12-09 18:30:00,15.8226
2021-12-12 18:30:00,15.7555
2021-12-13 18:30:00,15.7936
2021-12-14 18:30:00,15.6641
2021-12-15 18:30:00,15.6378
2021-12-16 18:30:00,15.2637
2021-12-19 18:30:00,14.8381
2021-12-20 18:30:00,15.0551
2021-12-21 18:30:00,15.2828
2021-12-22 18:30:00,15.3993
2021-12-23 18:30:00,15.315
2021-12-26 18:30:00,15.3577
2021-12-27 18:30:00,15.4803
2021-12-28 18:30:00,15.4479
2021-12-29 18:30:00,15.3446
2021-12-30 18:30:00,15.5773
2022-01-02 18:30:00,15.6818
2022-01-03 18:30:00,15.742
2022-01-04 18:30:00,15.694
2022-01-05 18:30:00,15.6852
2022-01-06 18:30:00,15.7959
2022-01-09 18:30:00,15.8221
2022-01-10 18:30:00,15.8546
2022-01-11 18:30:00,15.9084
2022-01-12 18:30:00,16.015
2022-01-13 18:30:00,16.0479
2022-01-16 18:30:00,16.1104
2022-01-17 18:30:00,15.8455
2022-01-18 18:30:00,15.8385
2022-01-19 18:30:00,15.8262
2022-01-20 18:30:00,15.5669
2022-01-23 18:30:00,15.0217
2022-01-24 18:30:00,15.1445
2022-01-26 18:30:00,14.8629
2022-01-27 18:30:00,15.0502
2022-01-30 18:30:00,15.1745
2022-01-31 18:30:00,15.3465
2022-02-01 18:30:00,15.5873
2022-02-02 18:30:00,15.5039
2022-02-03 18:30:00,15.4973
2022-02-06 18:30:00,15.3961
2022-02-07 18:30:00,15.3436
