Date,NAV
2021-01-03 18:30:00,11.8967
2021-01-04 18:30:00,11.9125
2021-01-05 18:30:00,11.95
2021-01-06 18:30:00,11.9977
2021-01-07 18:30:00,12.2038
2021-01-10 18:30:00,12.3018
2021-01-11 18:30:00,12.3606
2021-01-12 18:30:00,12.4133
2021-01-13 18:30:00,12.4402
2021-01-14 18:30:00,12.2992
2021-01-17 18:30:00,12.0849
2021-01-18 18:30:00,12.2889
2021-01-19 18:30:00,12.3968
2021-01-20 18:30:00,12.3131
2021-01-21 18:30:00,12.165
2021-01-24 18:30:00,12.1026
2021-01-26 18:30:00,11.9156
2021-01-27 18:30:00,11.8464
2021-01-28 18:30:00,11.6592
2021-01-31 18:30:00,12.1236
2021-02-01 18:30:00,12.4467
2021-02-02 18:30:00,12.6186
2021-02-03 18:30:00,12.7248
2021-02-04 18:30:00,12.7306
2021-02-07 18:30:00,12.9428
2021-02-08 18:30:00,12.9134
2021-02-09 18:30:00,12.9338
2021-02-10 18:30:00,12.9826
2021-02-11 18:30:00,12.9094
2021-02-14 18:30:00,12.9829
2021-02-15 18:30:00,13.0239
2021-02-16 18:30:00,12.9877
2021-02-17 18:30:00,13.0242
2021-02-18 18:30:00,12.8625
2021-02-21 18:30:00,12.6447
2021-02-22 18:30:00,12.7776
2021-02-23 18:30:00,12.9141
2021-02-24 18:30:00,13.1182
2021-02-25 18:30:00,12.6314
2021-02-28 18:30:00,12.8792
2021-03-01 18:30:00,13.0669
2021-03-02 18:30:00,13.272
2021-03-03 18:30:00,13.1867
2021-03-04 18:30:00,13.0347
2021-03-07 18:30:00,13.0891
2021-03-08 18:30:00,13.0909
2021-03-09 18:30:00,13.1727
2021-03-11 18:30:00,13.0619
2021-03-14 18:30:00,13.0303
2021-03-15 18:30:00,13.0193
2021-03-16 18:30:00,12.7691
2021-03-17 18:30:00,12.6719
2021-03-18 18:30:00,12.8368
2021-03-21 18:30:00,12.8705
2021-03-22 18:30:00,12.916
2021-03-23 18:30:00,12.6659
2021-03-24 18:30:00,12.4409
2021-03-25 18:30:00,12.6229
2021-03-29 18:30:00,12.8797
2021-03-30 18:30:00,12.8464
2021-03-31 18:30:00,13.054
2021-04-04 18:30:00,12.8841
