Date,NAV
2021-01-03 18:30:00,20.0627
2021-01-04 18:30:00,19.6532
2021-01-05 18:30:00,19.5311
2021-01-06 18:30:00,19.5661
2021-01-07 18:30:00,20.1393
2021-01-10 18:30:00,20.3338
2021-01-11 18:30:00,20.1372
2021-01-12 18:30:00,20.0922
2021-01-13 18:30:00,20.0928
2021-01-14 18:30:00,19.9731
2021-01-17 18:30:00,19.8816
2021-01-18 18:30:00,20.0853
2021-01-19 18:30:00,20.2771
2021-01-20 18:30:00,20.6522
2021-01-21 18:30:00,20.627
2021-01-24 18:30:00,20.8513
2021-01-26 18:30:00,20.9138
2021-01-27 18:30:00,19.9901
2021-01-28 18:30:00,20.1774
2021-01-31 18:30:00,20.2294
2021-02-01 18:30:00,20.6697
2021-02-02 18:30:00,20.9539
2021-02-03 18:30:00,20.7823
2021-02-04 18:30:00,21.0056
2021-02-07 18:30:00,21.1323
2021-02-08 18:30:00,21.1316
2021-02-09 18:30:00,21.2116
2021-02-10 18:30:00,21.1595
2021-02-11 18:30:00,21.1317
2021-02-14 18:30:00,21.183
2021-02-15 18:30:00,21.347
2021-02-16 18:30:00,21.1806
2021-02-17 18:30:00,20.9926
2021-02-18 18:30:00,21.0203
2021-02-21 18:30:00,20.6703
2021-02-22 18:30:00,20.2339
2021-02-23 18:30:00,20.2937
2021-02-24 18:30:00,20.3491
2021-02-25 18:30:00,20.1416
2021-02-28 18:30:00,20.4943
2021-03-01 18:30:00,20.5203
2021-03-02 18:30:00,20.3965
2021-03-03 18:30:00,19.6432
2021-03-04 18:30:00,19.2338
2021-03-07 18:30:00,19.3678
2021-03-08 18:30:00,19.4478
2021-03-09 18:30:00,19.7959
2021-03-11 18:30:00,19.8247
2021-03-14 18:30:00,19.9411
2021-03-15 18:30:00,20.0843
2021-03-16 18:30:00,20.224
2021-03-17 18:30:00,20.1171
2021-03-18 18:30:00,19.8362
2021-03-21 18:30:00,19.8578
2021-03-22 18:30:00,20.0787
2021-03-23 18:30:00,20.1084
2021-03-24 18:30:00,19.7722
2021-03-25 18:30:00,19.7981
2021-03-29 18:30:00,20.0777
2021-03-30 18:30:00,20.0858
2021-03-31 18:30:00,20.419
